iter	Logloss
0	0.6642077728
1	0.6362711234
2	0.61259383353	0.5968071565
4	0.5818079467
55	0.5623499123
6	0.547300867677	0.5396586502
8	0.5272744216
9	0.5159431777
10	0.5074385214
11	0.5028362167
12	0.4975512983
13	0.4905058038
14	0.4810515971
15	0.4739120511
16	0.4690492953
17	0.4626652526
18	0.4563057201
19	0.4489011843
20	0.444541183
21	0.4402437135
22	0.4369734685
23	0.4344775261
24	0.4326301727
25	0.4292319735
26	0.4272850048
27	0.4252486187
28	0.4226256762229	0.4200510908
30	0.4178303982
31	0.4141331626
32	0.4122380269
33	0.4104782088
34	0.4081002513
35	0.4058633467
36	0.4029883313
37	0.3996374997
38	0.3975586647
39	0.3950872221
40	0.3929586326
41	0.3903135716
42	0.3882976818
43	0.384755611
44	0.3826322318
45	0.3808929682
46	0.37959248
47	0.3775546153
48	0.3754054945
49	0.3733737413
50	0.369996309
51	0.3678442675
52	0.3658649094
53	0.3643060985
54	0.3617463851
55	0.359901128
56	0.3577241846
57	0.3560409019
58	0.3544487051
59	0.3532879321
60	0.3524078865
61	0.3512328268
62	0.3492858456
63	0.3483586308
64	0.3464871517
65	0.3453363192
66	0.3440354475
67	0.3422319849
68	0.3409000532
69	0.3398068601
70	0.3376079314
71	0.3362877745
72	0.3339381503
73	0.3319346803
74	0.3305660788
75	0.3291042405
76	0.3277113481
77	0.3250963483
78	0.3231771557
79	0.3210154187
80	0.319260713
81	0.3160165972
82	0.3141984217
83	0.3122537839
84	0.3101403011
85	0.3090400232
86	0.3070281484
87	0.3052478042
88	0.3035974151
89	0.3024307643
90	0.3007617071
91	0.2996726613
92	0.2967867836
93	0.2952346238
94	0.2936681154
95	0.2908640974
96	0.2886915355
97	0.2869908902
98	0.2850364482
99	0.2839334923
100	0.2825733797
101	0.2815639391
102	0.2792909213
103	0.2778762115
104	0.2762562242
105	0.2743778334
106	0.2724477319
107	0.2707268925
108	0.2682773908
109	0.2663479959
110	0.2650594812
111	0.2633998128
112	0.2619170685
113	0.2603781445
114	0.2587770051
115	0.2574823628
116	0.2562281003
117	0.254664271
118	0.2530347422
119	0.2510584938
120	0.2489202847
121	0.2472485622
122	0.2463237334
123	0.2449718548
124	0.2432355086
125	0.2421712137
126	0.2411834522
127	0.2398215683
128	0.2378652001
129	0.2368833385
130	0.2359572339
131	0.2340987135
132	0.2330963516
133	0.2319385943
134	0.2311287737
135	0.2298169634
136	0.228685578
137	0.2273382042
138	0.2263679376
139	0.2254461479
140	0.2244554807
141	0.2232987379
142	0.2224770263
143	0.2213570592
144	0.2196969424
145	0.2182256964
146	0.2173343253
147	0.2160199424
148	0.2152289207
149	0.2147343265
150	0.2134937493
151	0.2124512573
152	0.211399416
153	0.2101016934
154	0.2088848711
155	0.2082163197
156	0.206680448
157	0.2054809437
158	0.204222111
159	0.2028355798
160	0.2016259824
161	0.2005666728
162	0.1993713765
163	0.19779382
164	0.1967261772
165	0.1960078791
166	0.1949969505
167	0.1943949816
168	0.1932756633
169	0.1920482096
170	0.1907097158
171	0.1896613751
172	0.1886832183
173	0.1876109905
174	0.1867262908
175	0.1855814801
176	0.1846006036
177	0.1843551642
178	0.1837527018
179	0.1827960475
180	0.181484899
181	0.1804250245
182	0.179397423
183	0.1783477106
184	0.1773630279
185	0.1765063338
186	0.1748336738
187	0.1741554603
188	0.1730033568
189	0.1721994787
190	0.1712586754
191	0.1707563109
192	0.1697493018
193	0.1687018145
194	0.1675134712
195	0.1668584747
196	0.1663483291
197	0.165198	0.17198	0.1646507008
199	0.1636578607
200	0.1628545377
201	0.1619598896
202	0.1609290514
203	0.1605820834
204	0.159472128
205	0.1586518695
206	0.1579437894
207	0.1570059283
208	0.1560407886
209	0.155551845
210	0.1550732758
211	0.1545831147
212	0.1539141101
213	0.1531170848
214	0.1525140725
215	0.1516578486
216	0.1511193171
217	0.1507921299
218	0.1499533713
219	0.1220	0.1563220	0.1486616327
221	0.1476679792
222	0.1469331612
223	0.1463875205
224	0.1458041827
225	0.1449589036
226	0.1444279825
227	0.1435416155
228	0.1429012579
229	0.1424310706
230	0.1418922862
231	0.1410604283
232	0.140319306
233	0.1400418069
234	0.1390871151
235	0.1385836955
236	0.1380728919
237	0.1377898266
238	0.1372376614
239	0.1364531861
240	0.1360224713
241	0.1352511486
242	0.1345366047
243	0.1342203718
244	0245	0.13871245	0.1331293778
246	0.1327507914
247	0.1322924848
