Feature_Extracted
Renyi entropy (RE)
Minima (MIN)
Corrected conditional entropy (CCEN)
Second quartile (Q2)
Conditional entropy (CEN)
Third quartile (Q3)
Tsallis entropy (TEN)
Maxima (MAX)
Fuzzy entropy (FEN)
Median (MED)
Sure entropy (SuE)
Mean (MEAN)
Shannon entropy (SHEN)
Second moment (MOM2)
Permutation entropy (PEN)
Third moment (MOM3)
Kraskov entropy (KEN)
Standard deviation (SD)
Log entropy (LEN)
Peak value (PEAK)
Average amplitude change (AAC)
Integral EEG (IEEG)
Wavelength (WL)
First quartile (Q1)
Hjorth activity (HA)
Inter quartile range (IQR)
Hjorth mobility (HM)
Root mean square (RMS)
Higuchi fractal dimensions (HFD)
Mean absolute value (MAV)
Skewness (SKEW)
Clearance factor (CF)
Kurtosis (KURT)
Mean deviation from max (M1)
Spectral flatness (SPF)
Mean deviation from min (COV)
Hjorth complexity (HjC)
Mean deviation from range (R1)
Hurst exponent (HE)
Modified mean absolute value type1 (MAV1)
Modified mean absolute value type2 (MAV2)
