,0
P7,63.9
O1,56.17
Pz,55.81
Cz,51.04
C3,49.11
P3,47.58
T7,46.29
P8,44.31
Fz,43.88
Fp2,43.72
F7,42.62
O2,42.05
F8,41.77
F4,41.32
F3,41.18
C4,39.61
T8,39.54
P4,39.01
Fp1,37.09
